Date,Meal,Food,Time
2025-06-23,Breakfast,Eggs,02:00 AM
2025-06-23,Breakfast,Eggs,09:45 AM
2025-06-23,Snacks #1,cookie,12:30 PM
2025-06-23,Snacks #2,banana,12:00 PM
2025-06-23,Lunch,salad,04:15 PM
2025-06-23,Dinner,sandwich,06:15 PM
2025-06-23,Dessert,ice cream,08:30 PM
2025-06-24,Breakfast,Eggs,08:45 AM
2025-06-24,Snacks #1,Cookie,10:00 AM
2025-06-24,Snacks #2,Coffee,09:00 AM
2025-06-24,Lunch,salad,01:45 PM
2025-06-24,Dinner,Chicken,06:30 PM
2025-06-24,Dessert,ice cream,08:00 PM
2025-06-25,Breakfast,eggs,09:15 AM
2025-06-25,Snacks #1,cookie,10:45 AM
2025-06-25,Snacks #2,banana,11:45 AM
2025-06-25,Snacks #3,apple,12:00 PM
2025-06-25,Lunch,tacos,02:00 PM
2025-06-25,Dinner,burger,07:00 PM
2025-06-25,Dessert,dark chocolate,07:30 PM
